WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.61.184.59:5001
Press CTRL+C to quit
127.0.0.1 - - [03/Jun/2026 15:59:10] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 15:59:34] "POST /api/login HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 15:59:34] "GET /api/teaching/courses HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 15:59:57] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 16:00:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 16:00:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 16:00:42] "POST /api/login HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 16:00:42] "GET /api/teaching/ddls HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 16:00:42] "GET /api/teaching/courses HTTP/1.1" 200 -
